signal_date,trade_date,top_coins,bottom_coins,short_return,long_return,combined_return,cum_short_return,cum_long_return,cum_combined_return,short_equity,long_equity,combined_equity
2023-08-06,2023-08-07,"['AAVE', 'SOL', 'FXS']","['WLD', 'MKR', 'YGG']",1.4306800693771102,-11.32050264374322,-4.9449112871830545,1.256929949888806,0.7919702929454941,1.0440325054834205,125692.9949888806,79197.02929454941,104403.25054834205
2023-08-07,2023-08-08,"['BCH', 'OP', 'LINK']","['YGG', 'COMP', 'FXS']",1.8754500677801713,-2.787790559117912,-0.45617024566887043,1.280503043485945,0.7698918198877412,1.0392699398382939,128050.3043485945,76989.18198877413,103926.99398382938
2023-08-08,2023-08-09,"['SOL', 'SNX', 'COMP']","['YGG', 'OP', 'GMX']",-0.2614762053170276,-2.342970519491583,-1.3022233624043051,1.2771548327188689,0.7518534815157942,1.0257363238832744,127715.48327188689,75185.34815157943,102573.63238832745
2023-08-09,2023-08-10,"['APT', 'LINK', 'CRV']","['OP', 'WLD', 'INJ']",1.4966503614469235,-3.515667158745991,-1.0095083986495337,1.2962693751389927,0.7254208155842551,1.0153814295456738,129626.93751389926,72542.0815584255,101538.14295456737
2023-08-10,2023-08-11,"['MKR', 'DYDX', 'APE']","['WLD', 'GMX', 'APT']",0.2812939296562826,-0.33601893622175655,-0.027362503282736983,1.299915702203252,0.7229832642765976,1.015103595768682,129991.57022032519,72298.32642765976,101510.3595768682
2023-08-11,2023-08-12,"['YGG', 'FXS', 'WLD']","['GMX', 'CRV', 'SNX']",-0.2873990761304013,0.05523413012105497,-0.11608247300467316,1.2961797564846458,0.7233825977935416,1.0139252384111543,129617.97564846458,72338.25977935416,101392.52384111543
2023-08-12,2023-08-13,"['APE', 'GMX', 'DYDX']","['OP', 'MKR', 'CRV']",0.5046492352182574,-0.5054399227541214,-0.0003953437679319882,1.3027209177127996,0.7197263333500372,1.0139212299209128,130272.09177127996,71972.63333500372,101392.12299209129
2023-08-13,2023-08-14,"['MKR', 'FXS', 'INJ']","['YGG', 'SOL', 'DOGE']",-0.7011223250858641,0.9654103091520039,0.13214399203306987,1.2935872505251518,0.7266746455698802,1.0152610659102013,129358.72505251518,72667.46455698801,101526.10659102013
2023-08-14,2023-08-15,"['CFX', 'SOL', 'FXS']","['INJ', 'OP', 'WLD']",5.710804843817697,-5.524872400497164,0.09296622166026669,1.3674614938871503,0.6865267986353792,1.0162049157631656,136746.14938871504,68652.67986353792,101620.49157631656
2023-08-15,2023-08-16,"['RUNE', 'BCH', 'BTC']","['YGG', 'APE', 'COMP']",5.003695162402411,-6.63729794512992,-0.8168013913637546,1.4358850985044975,0.640959969536787,1.0079045398721052,143588.50985044974,64095.9969536787,100790.45398721051
