beta_window,z_entry,z_exit,z_window,vol_window,quantile_lookback,min_history,mode,oos_ratio,split_date,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,full_return,full_sharpe,full_mdd,oos_active_ratio
120,2.25,1.0,30,40,126,126,low_only,0.8,2025-05-16,0.06735883139628651,0.2577969632714881,-0.2478979672379641,0.06582530162522282,0.6067472641663968,-0.09249606821285117,0.13761804841529268,0.34473736855589626,-0.3008533405443087,0.19811320754716982
120,2.25,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.25734471354815946,0.7674532986278016,-0.17201140923282177,0.06534568023949139,0.603228872374474,-0.09249606821285117,0.33950675915049233,0.7079501853918849,-0.21282633267597684,0.2028301886792453
120,2.25,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.2579107733961876,0.7688280887106443,-0.17201140923282143,0.06534568023949139,0.603228872374474,-0.09249606821285117,0.3401098085643468,0.7089202215676277,-0.2128263326759765,0.2028301886792453
90,2.25,1.0,30,20,252,84,low_only,0.8,2025-05-16,0.30475244716686345,0.9373219584266453,-0.16266588622956146,0.06192951304594918,0.5889793810482578,-0.09215308295664715,0.38555513086541815,0.8171548972737241,-0.20472668054801846,0.19811320754716982
90,2.25,1.0,30,20,252,126,low_only,0.8,2025-05-16,0.30475244716686345,0.9373219584266453,-0.16266588622956146,0.06192951304594918,0.5889793810482578,-0.09215308295664715,0.38555513086541815,0.8171548972737241,-0.20472668054801846,0.19811320754716982
60,2.0,1.0,30,40,252,84,low_only,0.8,2025-05-16,0.22046708320938158,0.5993325024253472,-0.17451089080756454,0.06634952454182552,0.5758522274753416,-0.1172262330738576,0.3014444938992722,0.5852442742195415,-0.20357330970629917,0.2830188679245283
60,2.0,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,-0.004916243456163483,0.16551808291831568,-0.37131375245385234,0.06634952454182552,0.5758522274753416,-0.1172262330738576,0.06110709066981346,0.22441070119109313,-0.37131375245385234,0.2830188679245283
60,2.0,1.0,30,40,252,126,low_only,0.8,2025-05-16,0.22046708320938158,0.5993325024253472,-0.17451089080756454,0.06634952454182552,0.5758522274753416,-0.1172262330738576,0.3014444938992722,0.5852442742195415,-0.20357330970629917,0.2830188679245283
60,2.0,1.0,30,40,252,126,high_low_only,0.8,2025-05-16,0.23155391042485474,0.4298622189766131,-0.37131375245385223,0.06634952454182552,0.5758522274753416,-0.1172262330738576,0.3132669268291688,0.44877799211413527,-0.37131375245385223,0.2830188679245283
90,2.25,1.0,30,20,126,84,low_only,0.8,2025-05-16,0.5631273413159021,1.2800659044697784,-0.16266588622956135,0.058947506150146545,0.5664385136542119,-0.09215308295664715,0.6552697998815837,1.093419199827782,-0.16266588622956135,0.18867924528301888
90,2.25,1.0,30,20,126,126,low_only,0.8,2025-05-16,0.5631273413159021,1.2800659044697784,-0.16266588622956135,0.058947506150146545,0.5664385136542119,-0.09215308295664715,0.6552697998815837,1.093419199827782,-0.16266588622956135,0.18867924528301888
90,2.25,1.0,30,30,126,84,low_only,0.8,2025-05-16,0.2864500393441838,0.6551435638296055,-0.24323970910598935,0.05847097977237903,0.5628171463086078,-0.09215308295664715,0.36167003357285377,0.6350605285113518,-0.29739957892306346,0.19339622641509435
90,2.25,1.0,30,30,126,126,low_only,0.8,2025-05-16,0.2864500393441838,0.6551435638296055,-0.24323970910598935,0.05847097977237903,0.5628171463086078,-0.09215308295664715,0.36167003357285377,0.6350605285113518,-0.29739957892306346,0.19339622641509435
90,2.25,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.19689412694935515,0.5667040832314205,-0.16266588622956124,0.050439992405364675,0.5008838135266501,-0.09215308295664715,0.2572654576227065,0.5458074970609278,-0.20436864643891595,0.2028301886792453
90,2.25,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.19689412694935515,0.5667040832314205,-0.16266588622956124,0.050439992405364675,0.5008838135266501,-0.09215308295664715,0.2572654576227065,0.5458074970609278,-0.20436864643891595,0.2028301886792453
120,1.75,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.1381197095886364,0.3923059636557684,-0.2128353134400407,0.058046673497750945,0.4978223763853783,-0.1505230320972606,0.204183772772484,0.4152995170913263,-0.2249375144789223,0.32547169811320753
120,1.75,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.1381197095886364,0.3923059636557684,-0.2128353134400407,0.058046673497750945,0.4978223763853783,-0.1505230320972606,0.204183772772484,0.4152995170913263,-0.2249375144789223,0.32547169811320753
120,2.0,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.18740992001586276,0.513008404157614,-0.21283531344004092,0.052907270755160773,0.46794761490779224,-0.1505230320972606,0.25023253815150714,0.49229588027396426,-0.22493751447892263,0.3018867924528302
120,2.0,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.18740992001586276,0.513008404157614,-0.21283531344004092,0.052907270755160773,0.46794761490779224,-0.1505230320972606,0.25023253815150714,0.49229588027396426,-0.22493751447892263,0.3018867924528302
90,1.75,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.08609879365944839,0.2725315661170379,-0.20496452786257724,0.03994538656307456,0.3890477275069765,-0.14939491906620495,0.12948342981786398,0.29889599979573905,-0.2153494587285607,0.3160377358490566
90,1.75,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.08609879365944839,0.2725315661170379,-0.20496452786257724,0.03994538656307456,0.3890477275069765,-0.14939491906620495,0.12948342981786398,0.29889599979573905,-0.2153494587285607,0.3160377358490566
