coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
SUSHI,LONG,2025-03-30 07:00:00,2025-03-30 09:00:00,2.0,0.5969,0.598,-1.42271e-05,-2.3287e-06,0.18428547495392694,0.001868,0.09,0.09615347495392695,2025
POPCAT,SHORT,2024-10-08 18:00:00,2025-03-30 10:00:00,4144.0,1.2169,0.1882,1.48813e-05,1.93e-07,84.53447284082506,3.684219210000064,0.09,88.12869205082512,2025
UNI,LONG,2025-03-30 05:00:00,2025-03-30 11:00:00,6.0,6.014,5.976,-1.43056e-05,4.001e-07,-0.6318589956767585,0.004689759999999999,0.09,-0.7171692356767585,2025
RUNE,LONG,2025-03-30 07:00:00,2025-03-30 11:00:00,4.0,1.136,1.137,-1.40491e-05,-1.2852e-06,0.08802816901409437,0.00375,0.09,0.0017781690140943746,2025
JUP,LONG,2025-03-29 21:00:00,2025-03-30 12:00:00,15.0,0.4689,0.483,-1.49975e-05,1.941e-07,3.007037747920666,0.02405699,0.09,2.941094737920666,2025
ADA,LONG,2025-03-30 06:00:00,2025-03-30 12:00:00,6.0,0.6817,0.6746,-1.48269e-05,-1.745e-07,-1.0415138624028157,0.007654070000000001,0.09,-1.1238597924028157,2025
AIXBT,LONG,2025-03-30 10:00:00,2025-03-30 12:00:00,2.0,0.1054,0.10642,-1.47443e-05,1.3724e-06,0.9677419354838777,0.00125,0.09,0.8789919354838777,2025
ETH,LONG,2025-03-29 21:00:00,2025-03-30 20:00:00,23.0,1816.65,1814.1,-1.4079e-05,-2.7487e-06,-0.14036826025927843,0.03003808,0.09,-0.20033018025927843,2025
SUI,LONG,2025-03-30 08:00:00,2025-03-30 21:00:00,13.0,2.4393,2.3308,-1.45546e-05,3.02e-08,-4.447997376296471,0.013483489999999999,0.09,-4.5245138862964716,2025
ARK,LONG,2025-03-30 10:00:00,2025-03-30 21:00:00,11.0,0.3124,0.3081,-1.48536e-05,-2.9709e-06,-1.3764404609475116,0.03370566999999999,0.09,-1.4327347909475117,2025
BOME,LONG,2025-03-30 18:00:00,2025-03-30 21:00:00,3.0,0.001339,0.001319,-1.43118e-05,1.3769e-06,-1.4936519790888603,0.00122105,0.09,-1.5824309290888603,2025
PNUT,LONG,2025-03-29 16:00:00,2025-03-30 22:00:00,30.0,0.17095,0.17853,-1.44012e-05,-1.5904e-06,4.434045042410063,0.08041188999999999,0.09,4.424456932410063,2025
BNB,LONG,2025-03-28 23:00:00,2025-03-31 00:00:00,49.0,619.24,596.48,-1.40333e-05,-2.1295e-06,-3.6754731606485356,0.13899455999999996,0.09,-3.6264786006485354,2025
XRP,LONG,2025-03-29 17:00:00,2025-03-31 00:00:00,31.0,2.1111,2.0894,-1.47239e-05,-2.9264e-06,-1.0279001468428806,0.11733062,0.09,-1.0005695268428807,2025
HMSTR,LONG,2025-03-30 23:00:00,2025-03-31 01:00:00,2.0,0.002189,0.002208,-1.45452e-05,-6.903e-07,0.8679762448606634,0.00140776,0.09,0.7793840048606634,2025
UNI,LONG,2025-03-30 16:00:00,2025-03-31 02:00:00,10.0,5.886,5.897,-1.4014e-05,1.0994e-06,0.18688413183826233,0.01087046,0.09,0.10775459183826233,2025
FET,LONG,2025-03-30 17:00:00,2025-03-31 02:00:00,9.0,0.469,0.4698,-1.49734e-05,1.0874e-06,0.17057569296375755,0.01226578,0.09,0.09284147296375755,2025
PIXEL,LONG,2025-03-29 22:00:00,2025-03-31 03:00:00,29.0,0.03074,0.03178,-1.45769e-05,2.481e-07,3.3832140533506925,0.06948261,0.09,3.3626966633506927,2025
